,Attraction,Keywords
12,Yarada Beach ,"['beach', 'side', 'spot', 'view', 'sunset', 'nature', 'sand', 'tourist', 'vicinity', 'surroundings', 'destination', 'hill', 'coastline', 'sunrise', 'lover']"
13,Kanyakumari Beach ,"['visitor', 'sun', 'sea', 'moon', 'spot', 'shore', 'tip', 'house', 'softness', 'beach', 'day', 'confluence', 'destination', 'hue', 'view', 'water', 'sand', 'sunset', 'rise']"
14,Sothavilai Beach ,"['beach', 'sea', 'distance', 'km', 'view', 'swimming', 'sandy', 'sand', 'state', 'town', 'dune', 'cottage', 'tower', 'destination', 'water']"
15,Mandarmani Beach ,"['beach', 'attraction', 'sunrise', 'sunset', 'hour', 'tourist', 'town', 'sight', 'highlight', 'shore', 'location', 'drive', 'km']"
16,The Delta ,"['beach', 'fishing', 'crab', 'delta', 'site', 'attraction', 'lure', 'stretch', 'area', 'village', 'centre', 'water', 'fisherman', 'distance', 'km', 'visit', 'net', 'tree', 'fish', 'town']"
17,Digha Beach ,"['beach', 'sea', 'view', 'mile', 'length', 'resort', 'tourist', 'plantation', 'shore', 'sunrise', 'gradient', 'proximity', 'rule', 'swimming', 'sand', 'mention', 'sunset', 'km']"
18,Jolly Buoy Island ,"['island', 'permit', 'destination', 'boat', 'tourist', 'couples.,summer', 'scuba', 'beach', 'foreigner', 'diving', 'part', 'honeymoon', 'bottom', 'swamp', 'fee', 'glass', 'trip', 'time', 'reef', 'ferry']"
19,Ross Island ,"['island', 'era', 'bakery', 'room', 'collection', 'home', 'state', 'swimming', 'region.,ferries', 'pm', 'history', 'spot', 'fee', 'house', 'bunker', 'remains', 'activity', 'pool', 'building', 'glory']"
20,Little Andaman Island ,"['island', 'beach', 'ferry', 'tourist', 'house', 'boat', 'surf', 'planning', 'day', 'tsunami', 'diving', 'tree', 'public', 'devastation', 'walk', 'number', 'bit', 'attraction', 'snorkelling', 'motorcycle']"
21,Corbyn's Cove ,"['beach', 'spot', 'pill', 'occupation', 'bunker', 'diving', 'palm', 'boating', 'corbyn', 'sunset', 'part', 'box', 'tsunami', 'tourist', 'coconut', 'swimming', 'scuba']"
22,Long Island ,"['facility', 'beach', 'attraction', 'spot', 'guest', 'trekking', 'day', 'permit', 'stretch', 'house', 'snorkelling', 'camping', 'government', 'surfing', 'boat', 'swimming', 'accommodation', 'island', 'catamaran', 'couple']"
23,Alleppey Beach ,"['beach', 'lighthouse', 'addition', 'wave', 'structure', 'business', 'freshwater', 'canal', 'lagoon', 'present', 'government', 'network', 'boat', 'tourist', 'reminiscence', 'purpose', 'height', 'entry', 'portion', 'tea']"
24,Pathiramannal ,"['island', 'bird', 'land', 'specie', 'crow', 'ablution', 'pheasant', 'shrike', 'drongos', 'mythology', 'part', 'variety', 'night', 'heron', 'bulbul', 'boat', 'home', 'catcher', 'dove', 'way']"
25,The Lighthouse ,"['lighthouse', 'end', 'colour', 'view', 'observation', 'platform', 'tourist', 'stair', 'metre', 'hillock']"
26,Lighthouse Beach ,"['beach', 'lighthouse', 'surfing', 'attraction', 'poovar', 'sport', 'water', 'metre', 'step', 'direction', 'platform', 'tourist', 'sand', 'observation', 'swimming', 'end', 'view', 'stretch']"
27,Samudra Beach ,"['beach', 'part', 'attraction', 'name', 'vessel', 'tourist', 'fishing', 'km']"
28,Hawa Beach ,"['beach', 'palm', 'massage', 'tourist', 'grove', 'current', 'swimming', 'ride']"
29,Karamana River ,"['river', 'bridge', 'km', 'irrigation', 'city', 'water', 'kadavu', 'reach', 'village', 'area', 'attraction', 'name', 'dam', 'tip', 'originates', 'tributary', 'suburb', 'supply']"
30,Vizhinjam Fishing Harbour ,"['treatment', 'centre', 'area', 'beach', 'sea', 'port', 'king', 'town', 'massage', 'km']"
31,Akkulam Lake ,"['lake', 'attraction', 'snack', 'swimming', 'boat', 'child', 'spot', 'sea', 'park', 'pool', 'extension', 'picnic', 'club', 'bar', 'km']"
32,Vellayani Lake ,"['lake', 'boat', 'km', 'race', 'number', 'tourist', 'sq', 'night', 'country', 'freshwater', 'people', 'water', 'area']"
33,Alibag Beach ,"['beach', 'tourist', 'town', 'view', 'sand', 'mazhar', 'deposit', 'mind', 'government', 'safety', 'platform', 'region', 'middle']"
34,Varsoli Beach ,"['beach', 'satellite', 'outskirt', 'hamlet', 'coconut', 'water', 'sand', 'tourist', 'tree', 'base']"
35,Kihim Beach ,"['beach', 'km', 'tree', 'distance', 'coconut', 'tent', 'butterfly', 'city', 'north', 'facility', 'beauty', 'number', 'sight', 'traveller', 'bird', 'vicinity', 'tourist', 'abundance', 'flower', 'land']"
36,Nagaon Beach ,"['beach', 'tourist', 'water', 'route', 'holiday', 'tree', 'shore', 'coconut', 'cottage', 'kayaking', 'getaway', 'grove', 'cypress', 'bungalow', 'site', 'picnic', 'ride', 'boat', 'island', 'number']"
37,Mandwa Beach ,"['beach', 'tourist', 'spot', 'cave', 'visitor', 'ruin', 'presence', 'village', 'ferry', 'vicinity', 'number', 'church', 'temple', 'coconut', 'tree', 'jetty', 'synagogue', 'km']"
38,Akshi Beach ,"['beach', 'tourist', 'bird', 'town', 'swimming', 'epigraph', 'water', 'purpose', 'flora', 'distance', 'variety', 'literature', 'suru', 'hamlet', 'coast', 'sand', 'number', 'tree', 'km']"
39,Thal Beach ,"['shore', 'number', 'fort', 'west', 'fisherman', 'coast', 'village', 'north', 'east', 'beach', 'invasion', 'centre', 'sea', 'elevation', 'tourist', 'fishing', 'island', 'km']"
40,Rewas Jetty ,"['km', 'life', 'part', 'city', 'getaway', 'jetty']"
41,Achra Beach ,"['airport', 'beach', 'way', 'sport', 'road', 'farming', 'village', 'area', 'adventure', 'water', 'minute', 'attraction', 'temple', 'town', 'library', 'hour', 'wave', 'treatment', 'km']"
42,Dhamapur Lake ,"['lake', 'facility', 'water', 'area', 'greenery', 'palm', 'village', 'areca', 'sport', 'plantation', 'mango', 'side', 'boating', 'year', 'activity', 'coconut', 'hut', 'hill', 'acre', 'wave']"
43,Kolamb Beach ,"['airport', 'beach', 'creek', 'way', 'name', 'adventure', 'hour', 'dolphin', 'town', 'part', 'minute', 'sport', 'water', 'road', 'point', 'km']"
44,Poovar Island ,"['island', 'beach', 'backwater', 'tourist', 'km', 'minute', 'station', 'boat', 'harbor', 'sand', 'swimming', 'bird', 'tree', 'hour', 'massage', 'coconut', 'time', 'parlor', 'resort', 'drive']"
45,Light House Beach ,"['beach', 'swimming', 'water', 'm', 'house', 'hillock']"
46,Samudra Beach ,"['north', 'activity', 'fisherman', 'headland']"
47,Shanghumukham Beach ,"['beach', 'attraction', 'view', 'spot', 'tourist', 'sun', 'concrete', 'distance', 'year', 'setting', 'city', 'picnic', 'km']"
48,Hawa Beach ,"['beach', 'tourist', 'resort', 'destination', 'cove']"
49,Radhanagar Beach ,"['beach', 'addition', 'kayaking', 'lover', 'scuba', 'snorkelling', 'world', 'flora', 'range', 'diving', 'distance', 'sunset', 'activity', 'view', 'ride', 'tourist', 'nature', 'fauna', 'swimming', 'km']"
50,Elephant Beach ,"['beach', 'life', 'fraction', 'snorkelling', 'hike', 'day', 'affair', 'minute', 'distance', 'present', 'market', 'hassle', 'ride', 'boat', 'coral', 'hour', 'trip', 'path', 'jungle', 'shoreline']"
51,Neil Island ,"['island', 'snorkelling', 'kilometre', 'angling', 'location', 'area', 'north', 'adventure', 'beach', 'vegetable', 'sport', 'addition', 'distance', 'fishing', 'activity', 'sq', 'bowl', 'east', 'km']"
52,Vijaynagar Beach ,"['beach', 'tourist', 'addition', 'environment', 'refreshing', 'salt', 'surroundings', 'walk', 'paradise', 'sea']"
53,Inglis Island ,"['island', 'beach', 'life', 'picture', 'stretch', 'diversity', 'spell', 'way', 'journey', 'holiday', 'water', 'ferry', 'period', 'sound', 'beauty', 'vacation', 'jungle', 'money', 'treasure', 'reef']"
54,Panambur Beach ,"['kite', 'week', 'beach', 'flyer', 'site', 'maker', 'festival', 'group']"
55,Mangalore Beach ,"['beach', 'hotel', 'tourist', 'performance', 'budget', 'picnic', 'lighthouse', 'drum', 'people', 'confluence', 'spot', 'border', 'allure', 'sand', 'sunset', 'view', 'beat']"
56,Someshwar Beach ,"['beach', 'confluence', 'fort', 'rock', 'queen', 'side', 'north', 'palace', 'rule', 'ruin', 'highlight']"
57,Benaulim Village And Beach ,"['village', 'arrow', 'significance', 'tourist', 'temple', 'seaside', 'birth', 'ruin', 'charm', 'site', 'name', 'region', 'sight', 'mountain', 'advent', 'legend', 'km']"
58,Nagoa Beach ,"['beach', 'bus', 'town', 'stand', 'km', 'end', 'bridge', 'swimming', 'fishing', 'activity', 'shoe', 'spot', 'shape', 'ferry', 'pony', 'sport', 'village', 'picnic', 'water', 'camel']"
59,Jallandhar Beach ,"['demon', 'spot', 'memorial', 'hill', 'structure', 'temple', 'facility', 'sport', 'water', 'beach', 'top', 'face', 'stone', 'km']"
60,Ghoghla Beach ,"['beach', 'tourist', 'food', 'amenity', 'complex', 'accommodation', 'town', 'activity', 'spot', 'parasailing', 'facility', 'scooter', 'water', 'adventure', 'village', 'km']"
61,Sunset Point ,"['beach', 'swimming', 'tree', 'palm', 'sun']"
62,Gomatimata Beach ,"['beach', 'end', 'water', 'sand', 'swimming', 'town', 'stretch', 'km']"
63,Chakratirath Beach ,"['beach', 'demon', 'air', 'seaside', 'story', 'head', 'killing', 'name', 'auditorium']"
64,Chowpatty Beach ,"['beach', 'food', 'street', 'evening', 'people', 'tree', 'rickshaw', 'age', 'film', 'play', 'fee', 'variety', 'swimming', 'glimpse', 'transport', 'city', 'immersion', 'scene', 'auto', 'admission']"
65,Marve Beach ,"['beach', 'activity', 'kingdom', 'tourist', 'service', 'auto', 'transportation', 'ferry', 'clock', 'taxi', 'rickshaw', 'part', 'end', 'current', 'interest', 'park', 'bus', 'purposes.,it', 'sand', 'width']"
66,Wellingdon Island ,"['island', 'home', 'office', 'road', 'port', 'mainland', 'governor', 'business', 'export', 'man', 'centre', 'import', 'hotel', 'railway']"
67,Jaigad Lighthouse ,"['lighthouse', 'year', 'region', 'officer', 'pm', 'edge', 'ship', 'army']"
68,Mangamaripeta ,"['beach', 'complex', 'kingdom', 'region', 'nature', 'hill', 'lover', 'vicinity', 'elevation', 'centre', 'sport', 'surroundings', 'm', 'water', 'adventure', 'survey']"
69,Gangavaram Beach ,"['beach', 'ocean', 'view', 'hill', 'south', 'film', 'tree', 'palm', 'tv', 'vicinity', 'surroundings', 'tourist', 'coastline', 'maker', 'middle']"
70,Muttom Beach ,"['shore', 'km', 'sunset', 'steel', 'fence', 'bench', 'hamlet', 'sun', 'year', 'sea', 'hut', 'lighthouse', 'visitor', 'point']"
71,Thengapattinam Beach ,"['beach', 'km', 'water', 'estuary', 'shore', 'vicinity', 'village', 'mosque', 'year', 'county', 'legend', 'swimming', 'distance', 'coconut', 'relation', 'sea', 'trade', 'ride', 'grove']"
72,Bhimli ,"['beach', 'century', 'name', 'cemetery', 'fort', 'evidence', 'sand', 'settlement', 'hill', 'tree', 'local', 'road', 'period', 'village', 'structure', 'assemblage', 'konda', 'statue', 'pine', 'view']"
73,Kappad Beach ,"['beach', 'backwater', 'fact', 'gateway', 'rock', 'experience', 'tourist', 'popularity', 'local', 'ride', 'explorer', 'foot', 'world', 'event', 'monument', 'stone']"
74,Kozhikode Beach ,"['beach', 'sunrise', 'beauty', 'sunset', 'tourist', 'town', 'year', 'pier', 'sea', 'lighthouse', 'world', 'setting', 'charm', 'middle']"
75,Beypore Beach ,"['village', 'ship', 'shipbuilding', 'trading', 'local', 'team', 'buyer', 'centre', 'tourist', 'town', 'perfection', 'year', 'distance', 'need', 'reign', 'vessel', 'shape', 'mind', 'maritime', 'merchant']"
76,Kalipoyika ,"['row', 'distance', 'option', 'pedal', 'water', 'tourist', 'boat', 'km']"
77,Canolly Canal ,"['boat', 'sightseeing', 'canal', 'river', 'village', 'area', 'opportunity', 'people', 'bank', 'feeling', 'vu', 'sea', 'walk', 'calicut', 'sunset', 'region', 'j']"
78,Smith Island ,"['island', 'beach', 'seashore', 'restaurant', 'lifestyle', 'camping', 'row', 'accommodation', 'coconut', 'palm', 'sand', 'house', 'site', 'bar']"
79,Collinpur ,"['sunset', 'day', 'water', 'trip', 'swimming', 'bathing', 'sun', 'km']"
80,Mahabalipuram Beach ,"['beach', 'km', 'tourist', 'activity', 'distance', 'monument', 'rock', 'shore', 'motor', 'diving', 'surfing', 'notice', 'government', 'temple', 'month', 'undertaking', 'wind', 'century']"
81,Kudle Beach ,"['beach', 'town', 'cafe', 'hut', 'tourist', 'coast', 'km']"
82,Om Beach ,"['beach', 'surfing', 'addition', 'skiing', 'banana', 'tourist', 'boat', 'activity', 'hut', 'distance', 'shape', 'shop', 'sign', 'cruise', 'tea', 'km']"
83,Half Moon Beach ,"['beach', 'tourist', 'canoeing', 'tree', 'cabin', 'range', 'ball', 'palm', 'hut', 'paddle', 'activity', 'view', 'cliff', 'volleyball', 'hammock', 'camping', 'boat', 'swimming', 'paint', 'village']"
84,Paradise Beach ,"['beach', 'tourist', 'forest', 'seafood', 'boat', 'speciality', 'barbecue', 'restaurant', 'sea']"
85,Gokarna Beach ,"['beach', 'tourist', 'mountain', 'guitar', 'view', 'bath', 'atmosphere', 'side', 'hammock', 'town', 'sea', 'roadway']"
86,Jampore Beach ,"['beach', 'km', 'city', 'time', 'railway', 'roadway', 'railhead', 'picnic', 'spot', 'weather', 'distance', 'part', 'border', 'airport', 'town', 'swimming', 'airway']"
87,Devka Beach ,"['park', 'amusement', 'beach', 'taxi', 'tourist', 'km', 'stand', 'rickshaw', 'seafood', 'resort', 'day', 'swimming', 'joint', 'shoreline', 'pony', 'festival', 'child', 'ride', 'distance', 'walking']"
88,Chowara Beach ,"['beach', 'km', 'time', 'family', 'hill', 'stretch', 'top', 'grove', 'shore', 'distance', 'honeymoon', 'gorge', 'year', 'wave', 'coconut', 'view', 'away.,evenings', 'gliding', 'name', 'attraction']"
89,Vizhinjam Lighthouse ,"['house', 'beacon', 'pm', 'top', 'beach', 'sunset', 'hill', 'eatery', 'sight', 'tree', 'part', 'mark', 'canopy', 'auto', 'ground', 'day', 'rickshaw', 'ladder', 'taxi', 'coconut']"
90,Murudeshwar Beach ,"['beach', 'traveller', 'ride', 'boat', 'west', 'east', 'attraction', 'kilometre', 'sunrise', 'distance', 'family', 'statue', 'swimming', 'hill', 'fishing', 'sunset', 'view', 'location']"
91,Netrani Island ,"['island', 'spot', 'cave', 'ruin', 'rickshaw', 'picnic', 'time', 'north', 'target', 'water', 'people', 'mark', 'month', 'temple', 'fishing', 'mosque', 'boat', 'taxi', 'practice', 'auto']"
92,Bhatkal Beach ,"['beach', 'attraction', 'view', 'month', 'area', 'port', 'time', 'ruler', 'lighthouse', 'surroundings', 'century', 'sea', 'hillock', 'temple', 'vicinity', 'tourist', 'hill', 'coconut', 'tree', 'middle']"
93,Bhatkal Light House ,"['tower', 'lighthouse', 'signal', 'masonry', 'lamp', 'baffle', 'flashing', 'stone', 'ruin', 'mast', 'fog', 'storm', 'cabin', 'light', 'wall', 'warning', 'hill', 'metal', 'column', 'source']"
94,New Mangalore Port ,"['port', 'year', 'project', 'state', 'pulp', 'fine', 'cargo', 'iron', 'timber', 'confluence', 'manganese', 'name', 'import', 'administration', 'coffee', 'crude', 'ammonia', 'product', 'fertilizer', 'north']"
95,Nandini River ,"['bank', 'spot', 'name', 'mile', 'katee', 'river', 'belief']"
96,Coco Beach ,"['beach', 'seashore', 'family', 'occupation', 'picnic', 'area', 'village', 'dolphin', 'crystal', 'native', 'palm', 'number', 'enhance', 'tree', 'activity', 'watersports', 'water', 'sand', 'fishing', 'trip']"
97,Henry's Island ,"['forest', 'beach', 'mangrove', 'fish', 'name', 'path', 'acre', 'tourist', 'ride', 'bird', 'animal', 'tree', 'gora', 'fee', 'hetal', 'lodge', 'pisciculture', 'land', 'kankru', 'car']"
98,Jambu Dwip ,"['boat', 'habitation', 'km', 'fisherman', 'mangrove', 'time', 'hectare', 'minute', 'ride', 'water', 'house', 'mud', 'island', 'tree', 'sight', 'crab', 'bird', 'state', 'month', 'area']"
99,Bakkhali Sea Beach ,"['beach', 'land', 'tourist', 'water', 'spot', 'bus', 'car', 'hotel', 'forest', 'handicraft', 'attraction', 'cycle', 'coconut', 'slope', 'tiger', 'time', 'mangrove', 'shack', 'vendor', 'end']"
100,Sagar Island ,"['island', 'point', 'km', 'temple', 'part', 'tip', 'habitat', 'spot', 'sea', 'pilgrimage', 'tourist', 'ferry', 'delta', 'guest', 'service', 'visitor', 'bird', 'pilgrim', 'forest', 'attraction']"
101,Vihar Lake ,"['lake', 'water', 'park', 'city', 'tourist', 'bank', 'source', 'matter', 'supply', 'number', 'treatment', 'permission', 'rickshaw', 'fact', 'sun', 'public', 'thereon', 'bird', 'bus', 'auto']"
102,Gorai Beach ,"['beach', 'palm', 'grove', 'park', 'party', 'film', 'night', 'amusement']"
103,Manori And Marve Beaches ,"['beach', 'village', 'fishing', 'spot', 'weekend', 'party', 'bungalow', 'picnic']"
104,St. Anthony's Island ,"['island', 'hour', 'boat', 'community', 'fisherman', 'cross']"
105,Lawson's Bay ,"['way', 'greenery', 'sailing', 'wave', 'crystal', 'water', 'beach', 'sand', 'swimming', 'vicinity', 'surfing', 'sea']"
106,Kondakarla Ava Beach ,"['beach', 'village', 'bird', 'lake', 'specie', 'location', 'habitat', 'coconut', 'life', 'vegetation', 'freshwater', 'kayaking', 'grove', 'boat', 'trekking', 'forest', 'sand', 'shore', 'hill', 'tourist']"
107,Uppada Beach ,[]
108,Gorai Beach ,"['way', 'surroundings', 'villa', 'park', 'ferry', 'proximity', 'beach', 'amusement']"
109,Manori Beach ,"['way', 'palm', 'ferry', 'attraction', 'beach', 'cottage', 'village', 'tree']"
110,Marve Beach ,"['spot', 'picnic', 'tourist', 'beach']"
111,Ozran Beach ,"['beach', 'attraction', 'rock', 'sunbathe', 'shack', 'hill', 'tourist', 'film', 'hillock', 'km', 'shore', 'maker', 'number', 'face', 'bed', 'order']"
112,Colva Beach ,"['beach', 'km', 'lattice', 'air', 'stretch', 'church', 'century', 'site', 'north', 'side', 'world', 'work', 'colonial', 'sand', 'palm', 'coconut', 'villa', 'change', 'architecture', 'rule']"
113,Varca Beach ,"['rock', 'watching', 'line', 'roof', 'south', 'boat', 'activity', 'lava', 'fishing', 'palm', 'shore', 'beach', 'village', 'stretch', 'km']"
114,Betalbatim Beach ,"['fishing', 'beach', 'distance', 'vicinity', 'kilometre', 'dolphin', 'watching', 'boat', 'village', 'traveller', 'km']"
115,Cavelossim And Mobor Beaches ,"['beach', 'taxi', 'tip', 'foot', 'southernmost', 'elevation', 'lava', 'bus', 'kilometre', 'attraction', 'region', 'boat', 'state', 'sand', 'fishing', 'watching', 'auto', 'rock', 'rickshaw']"
116,Betul Beach ,"['beach', 'coconut', 'distance', 'view', 'stretch', 'end', 'fruit', 'hillock', 'palm', 'part', 'tree', 'km']"
117,Arossim Beach ,"['water', 'surfing', 'distance', 'sailing', 'beach', 'sport', 'scootering', 'bus', 'km']"
118,Sunset Beach ,"['weekend', 'sunrise', 'view', 'sunset', 'people', 'beach', 'distance', 'morning', 'km']"
119,Harihareshwar Beach ,"['beach', 'attraction', 'tourist', 'boat', 'seashore', 'ride', 'atmosphere', 'sand']"
120,Kondivili Beach ,"['beach', 'sport', 'surf', 'water', 'opportunity', 'wave', 'cliff', 'sand', 'km']"
121,Karaikal Sandy Beach ,"['beach', 'sunrise', 'view', 'sunset', 'parking', 'court', 'water', 'boat', 'child', 'vehicle', 'bank', 'park', 'jetty', 'sport', 'restaurant', 'tennis']"
122,Majorda ,"['beach', 'tourist', 'taluka', 'hotel', 'shack', 'resort', 'restaurant', 'cuisine']"
123,Velsao Beach ,"['beach', 'north', 'south', 'coast', 'service', 'bus']"
124,Mahatma Gandhi Beach And Park ,"['walk', 'shoreline', 'town', 'park', 'km']"
125,Ashtamudi Lake ,"['meet', 'gateway', 'channel', 'wetland', 'ecosystem', 'backwater', 'river', 'lake']"
126,Thirumullavaram Beach ,"['swimming', 'town', 'beach', 'km']"
127,Neendakara Port ,"['fishing', 'headquarters', 'town', 'hub', 'km']"
128,Dhavaleshwar Island ,"['temple', 'island', 'coconut', 'museum', 'grove', 'beach', 'hill', 'thousand', 'shrine', 'century', 'devotee', 'km']"
129,Bordi Beach ,"['blackish', 'line', 'sand', 'group', 'sea', 'waist', 'level', 'chikoo', 'tide', 'water', 'beauty', 'orchard', 'area', 'kilometre', 'beach', 'km']"
130,Hooghly River ,"['route', 'part', 'bank', 'distributary', 'town', 'trade', 'km']"
131,Diamond Harbour ,"['ocean', 'spot', 'weekend', 'stronghold', 'lodge', 'river', 'local', 'picnic', 'pirate', 'destination', 'harbour', 'water', 'vessel', 'tourist', 'resting', 'port', 'ship', 'district', 'hotel', 'expanse']"
132,Kukrahati ,"['minute', 'ferry', 'river', 'bank', 'gateway', 'destination', 'interval', 'city', 'municipality', 'service', 'port']"
133,Mobor Beach ,"['beach', 'coastline', 'ride', 'end', 'discotheque', 'service', 'rickshaw', 'windsurfing', 'shop', 'proximity', 'watersports', 'skiing', 'biking', 'auto', 'bus', 'km', 'taxi', 'railhead', 'restaurant', 'jet']"
134,Cavelossim Beach ,"['beach', 'food', 'joint', 'handicraft', 'water', 'shop', 'tourist', 'dish', 'kilometre', 'surroundings', 'craft', 'variety', 'lava', 'drink', 'collection', 'seafood', 'sand', 'shack', 'rock', 'item']"
135,Ganapatipule Beach ,"['sand', 'distance', 'terrain', 'ambience', 'km']"
136,Anjarle Beach ,"['sea', 'view', 'beach', 'day', 'boat', 'bird', 'family', 'hundred', 'surf', 'sand', 'evening', 'coconut', 'tree', 'surfing', 'vegetation', 'wave', 'beach.,once', 'fort', 'idol', 'food']"
137,Guhagar Beach ,"['beach', 'sea', 'town', 'water', 'home', 'variety', 'rickshaw', 'hill', 'swimming', 'boat', 'holiday', 'sun', 'west', 'honeymoon', 'taxi', 'beachside', 'couple', 'east', 'stay', 'station']"
138,Aare Beach ,"['km', 'beach', 'distance']"
139,Mandavi Beach ,"['beach', 'bastion', 'sport', 'head', 'water', 'sand', 'south', 'vicinity', 'presence', 'enthusiast', 'west', 'bay']"
140,Bhatye Beach ,"['distance', 'sport', 'water', 'side', 'enthusiast', 'coast', 'extension', 'km']"
141,Ratnagiri Lighthouse ,"['lighthouse', 'tower', 'fort', 'm', 'lamp', 'stone', 'view', 'storm', 'passage', 'metal', 'picnic', 'beacon', 'steel', 'hand', 'shoe', 'ship', 'sun', 'horse', 'set', 'vigil']"
142,Kovalam Beach ,"['beach', 'part', 'km', 'trading', 'attraction', 'promontory', 'sand', 'tourist', 'm', 'hillock', 'distance', 'colour', 'house', 'side', 'coastline', 'fisherman']"
143,Poovar Beach ,"['river', 'distance', 'kind', 'estuary', 'water', 'land', 'boat', 'medium', 'lake', 'sea']"
144,Karwar Beach ,"['beach', 'fish', 'month', 'seafood', 'tourist', 'mussel', 'number', 'coconut', 'eatery', 'variety', 'town', 'tourism', 'style', 'plethora', 'watersports', 'opportunity', 'hunting', 'delicacy', 'island', 'snorkelling']"
145,Devbagh Beach ,"['beach', 'activity', 'resort', 'month', 'boat', 'weather', 'speed', 'castle', 'banana', 'order', 'seashell', 'tourist', 'sand', 'cruise', 'casuarina', 'island', 'snorkelling', 'km', 'time', 'ride']"
146,Majali Beach ,"['resort', 'fishing', 'beach', 'attraction', 'facility', 'lake', 'railhead', 'laundry', 'km', 'out', 'house', 'cottage', 'equipment', 'sit', 'rowing', 'sea', 'activity', 'tourist', 'birdwatching', 'balcony']"
147,Binaga Beach ,"['beach', 'church', 'seashore', 'region', 'base', 'train', 'mile', 'city', 'transport', 'project', 'option', 'distance', 'air', 'bay', 'border', 'beauty', 'ship', 'vicinity', 'terminal', 'operation']"
148,Koodi Bagh Beach ,"['kayaking', 'palm', 'beach', 'banana', 'boat', 'activity', 'confluence']"
149,Oyster Rock Lighthouse ,"['lantern', 'island', 'lighthouse', 'room', 'boat', 'tourist', 'entrance', 'help', 'tower', 'machine', 'dome', 'top', 'sunrise', 'order']"
150,Bharatpur Beach ,"['beach', 'vegetation', 'attraction', 'coral', 'boat', 'watching', 'fish', 'swimming', 'bottom', 'glass', 'water', 'activity']"
151,Sitapur Beach ,"['formation', 'vegetation', 'tide', 'tip', 'sea', 'limestone']"
152,Kalapathar Beach ,"['coastline', 'name', 'village', 'rock', 'corner', 'beach']"
153,Laxmanpur Beach ,"['beach', 'snorkelling', 'distance', 'basking', 'water', 'sand', 'swimming', 'shell', 'village', 'activity', 'sun', 'km']"
154,Vijaynagar Beach ,"['environment', 'salt', 'sea', 'beach']"
155,Mahim Beach ,"['beach', 'region', 'sunset', 'accommodation', 'tourist', 'apartment', 'coast', 'fort', 'invasion', 'view', 'today', 'infrastructure', 'complex', 'point']"
156,Kelva Beach ,"['beach', 'region', 'accommodation', 'land', 'stretch']"
157,Satpati Beach ,"['beach', 'fishing', 'weekend', 'town', 'evening', 'time', 'village', 'hub', 'km']"
158,Shirgaon Beach ,"['beach', 'attraction', 'home', 'fishing', 'abundance', 'district', 'town', 'tree', 'palm', 'ground', 'area', 'community', 'fisherman']"
159,Koduru Beach ,[]
160,Varkala Beach ,"['beach', 'people', 'water', 'sea', 'view', 'dusk', 'sand', 'district', 'town', 'market', 'cliff', 'location', 'border', 'property', 'remains', 'soul', 'flea', 'area', 'friend', 'end']"
161,Papanasam Beach ,"['beach', 'temple', 'massage', 'railway', 'station', 'spring', 'property', 'km']"
